ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7,amusement,awe,contentment,excitement,anger,disgust,fear,sadness,something else
79665,736342,bba76e,a6933c,bba76e,202144,5f474b,413d5a,c5b494,202144,b09a48,746a6d,a6933c,3f343b,894028,0.1952315270900726,0.0943746492266655,0.2208267003297805,0.0793378800153732,0.0161429122090339,0.0754827633500099,0.04588009044528,0.0599572621285915,0.2127662152051925
79895,4c3f36,af8c67,bea785,4c3f36,955438,aa8c5d,1c1e20,aa8c5d,b4997e,955438,c8b48c,593324,4d453d,6e6558,0.0959015265107154,0.103788360953331,0.3139629662036896,0.0571123361587524,0.0153177278116345,0.0590944029390811,0.0434060357511043,0.0943571701645851,0.2170594632625579
78553,3a3732,777066,2c2e2e,474037,4c4c48,a29484,483f37,333735,2c2e2e,4c4c48,887364,bcb4a4,54473a,885a3a,0.0592091418802738,0.0949744805693626,0.210804671049118,0.0529607534408569,0.0343578644096851,0.0655127018690109,0.1067888662219047,0.1391902267932891,0.2362011671066284
147099,c3bdb1,f4f3ef,f4f3ef,e5e0d3,847a6f,c0baae,f4f3ef,dcd9cc,e5e0d3,8d867d,a49b90,777168,9d7864,8b847b,0.212508276104927,0.0752583220601081,0.1915389597415924,0.0653794854879379,0.0186126958578825,0.0580328106880188,0.045032512396574,0.0514325723052024,0.2822043299674988
79881,262225,473e3a,262225,382e2c,443c3d,695d56,615f63,726a66,262225,443c3d,645143,382e2c,857c69,80807f,0.0488155856728553,0.0932189747691154,0.1303588449954986,0.0465999729931354,0.0626188367605209,0.0822110846638679,0.1647489666938781,0.1429667323827743,0.2284610122442245
78547,3c413d,86887d,667c78,a59483,323b39,464740,384442,323b39,3e423d,9d7966,adaea0,667c78,4a473f,875e44,0.040963239967823,0.161662071943283,0.2798838913440704,0.0401042215526104,0.0158804580569267,0.0334827005863189,0.0567214675247669,0.2101361155509948,0.1611657738685608
79659,cba544,e1bf59,dbb74f,e8c863,c39e40,d3ac47,e4c052,c9a342,d3ac47,dfba50,bd993e,ecd173,d2af4e,dbb64e,0.0594485737383365,0.0559592209756374,0.1979536861181259,0.0244858898222446,0.0569245032966136,0.0676135122776031,0.0334858186542987,0.131507396697998,0.3726212382316589
80571,355759,588e8a,467b7e,355759,59958f,7bac9d,467b7e,3f6e72,59958f,7fb1a0,a0c5ab,679e94,1c282d,3a5752,0.0683705732226371,0.1309922337532043,0.2032723873853683,0.0558281689882278,0.0301937088370323,0.0742366462945938,0.082860380411148,0.1099465489387512,0.2442993819713592
100339,675c54,948c7d,a19b8a,877c70,60514a,6f665e,67544b,867c6f,89867c,84695a,6f665e,594f49,9a9484,a7a290,0.0532926134765148,0.1038407310843467,0.206239566206932,0.0385200046002864,0.0540151596069335,0.0663116946816444,0.0580194592475891,0.1697916984558105,0.2499689757823944
80217,9c8d7c,a69d92,a5927e,a69d92,8f8071,979281,979281,95897d,8b7e6e,968370,a5927e,a69d92,5d4d40,7a6652,0.0424973890185356,0.0546368695795536,0.2151661664247512,0.0169962346553802,0.0493919625878334,0.057217538356781,0.0255373697727918,0.178417220711708,0.3601391315460205
