,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm),Depth (cm),Weight (kg),Diameter (cm),Length (cm),Circumference (cm),Duration (sec.),cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
92,Pierrot,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1918,Oil on canvas,"36 1/2 x 28 3/4"" (92.7 x 73 cm)",Sam A. Lewisohn Bequest,12.1952,Painting,Painting & Sculpture,1952-01-22,Y,78427,http://www.moma.org/collection/works/78427,http://www.moma.org/media/W1siZiIsIjE1MTAxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=97535d33d1b7b7eb,92.7,73.0,,,,,,,32312e,897b67,32312e,635346,96896c,c8bea6,817c66,32312e,dbd0b5,aa9672,735744,b5ad97,524837,535659
93,Woman with a Daffodil,Lucian Freud,1993,"British, born Germany. 1922–2011",British,1922,2011,Male,1945,Oil on board on canvas,"9 3/8 x 5 5/8"" (23.8 x 14.3 cm)",Purchase,12.1953,Painting,Painting & Sculpture,1953-01-30,Y,78428,http://www.moma.org/collection/works/78428,http://www.moma.org/media/W1siZiIsIjEyMDIyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a8a646b71eaf259,23.8,14.3,,,,,,,4b5955,c6c1aa,d5d2c0,b6b095,282e29,6e8481,6c888b,d5d2c0,c5bea8,27211c,283a37,717f76,a29b71,afa790
94,Reclining Nude,Amedeo Modigliani,4038,"Italian, 1884–1920",Italian,1884,1920,Male,1919,Oil on canvas,"28 1/2 x 45 7/8"" (72.4 x 116.5 cm)",Mrs. Simon Guggenheim Fund,13.1950,Painting,Painting & Sculpture,1950-01-06,Y,78432,http://www.moma.org/collection/works/78432,http://www.moma.org/media/W1siZiIsIjE1MTAyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b24f037f6d5875f4,72.4,116.5,,,,,,,2b1c1a,98734b,2b1c1a,75472f,ba9657,bfa877,ba9657,2b1c1a,552b23,8d5434,bfa877,ab7f46,6d2d26,6f4835
95,Night Fishing at Antibes,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1939,Oil on canvas,"6' 9"" x 11' 4"" (205.8 x 345.4 cm)",Mrs. Simon Guggenheim Fund,13.1952,Painting,Painting & Sculpture,1952-01-22,Y,78433,http://www.moma.org/collection/works/78433,http://www.moma.org/media/W1siZiIsIjE1MTAyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0fc87e8f7564b110,205.8,345.4,,,,,,,3b3c42,6f7370,3b3c42,5c595f,6b8174,9a998e,504d50,62616c,6b8174,91907f,a3a19e,5d5453,353336,40454d
96,Untitled,Francis Alÿs,8383,"Belgian, born 1959",Belgian,1959,0,Male,1994,"Oil on canvas and synthetic polymer paint on sheet metal, three panels","Small panel by Francis Alÿs 12 1/2 x 10"" (31.8 x 25.4 cm), medium panel by Emilio Rivera 36 x 28 1/8"" (91.4 x 71.4 cm), large panel by Juan Garcia 47 1/4 x 36"" (120 x 91.4 cm).",Gift of Eileen and Peter Norton,14.2000.a-c,Painting,Painting & Sculpture,1999-10-21,Y,78436,http://www.moma.org/collection/works/78436,http://www.moma.org/media/W1siZiIsIjc1NjIxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5deb9b9c9c37dfb5,120.0152,188.2779,,,,,,,97746a,dfe1e1,dfe1e1,786c63,ab3d2a,c0bcb9,a72d1e,dfe1e1,7f7873,7c6656,665a4f,b04d37,b5ada6,cccccc
97,Apples in the Hay,Walt Kuhn,3288,"American, 1877–1949",American,1877,1949,Male,1932,Oil on canvas,"30 x 40"" (76.2 x 101.6 cm)",Given anonymously (by exchange),14.1936,Painting,Painting & Sculpture,1936-01-15,Y,78438,http://www.moma.org/collection/works/78438,http://www.moma.org/media/W1siZiIsIjIwODAxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eeeec6cd83f7566f,76.2,101.6,,,,,,,47462f,6e6645,675b3c,47462f,686b52,83774b,686b52,55553a,8c743e,72704e,675b3c,393623,937c4e,a8985b
98,Composition in Oval with Color Planes 1,Piet Mondrian,4057,"Dutch, 1872–1944",Dutch,1872,1944,Male,1914,Oil on canvas,"42 3/8 x 31"" (107.6 x 78.8 cm)",Purchase,14.1950,Painting,Painting & Sculpture,1950-01-06,Y,78441,http://www.moma.org/collection/works/78441,http://www.moma.org/media/W1siZiIsIjE1MTAzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aede58a67773b8e9,107.6,78.8,,,,,,,767972,b1b4a6,948e81,b1b4a6,464740,6a8386,615f55,a3a393,6a8386,97adab,948e81,2c2e2b,c0b4a0,cbcbbc
99,Port of Hamburg,Oskar Kokoschka,3197,"Austrian, 1886–1980",Austrian,1886,1980,Male,1951,Oil on canvas,"35 3/4 x 47 1/2"" (90.8 x 120.5 cm)",Rose Gershwin Fund,14.1956,Painting,Painting & Sculpture,1956-03-19,Y,78442,http://www.moma.org/collection/works/78442,http://www.moma.org/media/W1siZiIsIjIwODAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9376ee111c944a1b,90.8,120.5,,,,,,,665f55,b6a892,bebcac,ad9578,55493e,77756c,b4a988,3e3d3a,bebcac,a68168,6b5443,848779,5a5d5f,7b6a5f
100,Spook Tree,Armando Morales Sequeira,4078,"Nicaraguan, 1927–2011",Nicaraguan,1927,2011,Male,1956,Oil on canvas,"51 1/4 x 22 5/8"" (130 x 57.9 cm)",Inter-American Fund,14.1957,Painting,Painting & Sculpture,1956-02-27,Y,78443,http://www.moma.org/collection/works/78443,http://www.moma.org/media/W1siZiIsIjIzNzkyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=69d5fdc90f263da1,130.0,57.9,,,,,,,302c26,665e41,302c26,554c34,6c6646,847a54,81764c,57513e,867f5d,24201f,6c6646,3b382d,4d4227,584f2e
101,Painterly Architectonic,Liubov Popova,4694,"Russian, 1889–1924",Russian,1889,1924,Female,1917,Oil on canvas,"31 1/2 x 38 5/8"" (80 x 98 cm)",Philip Johnson Fund,14.1958,Painting,Painting & Sculpture,1958-02-19,Y,78444,http://www.moma.org/collection/works/78444,http://www.moma.org/media/W1siZiIsIjI0MjMyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9743b8519c3da2eb,80.0,98.0,,,,,,,72443b,c6b6af,d7d5c5,b59899,56443f,8f4437,d7d5c5,8f4437,704b44,b69196,3d3c3a,c1a7a5,877573,b38d92
102,Jake at the New Viet Huong,Elizabeth Peyton,8042,"American, born 1965",American,1965,0,Female,1995,Oil on masonite,"16 x 12"" (40.6 x 30.5 cm)",Gift of the Peter Norton Family Foundation,15.2000,Painting,Painting & Sculpture,2000-01-01,Y,78446,http://www.moma.org/collection/works/78446,http://www.moma.org/media/W1siZiIsIjE1MTA0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=37184e75192e24df,40.6,30.5,,,,,,,c15c2e,b88c66,9b7c6a,d59c63,ae4a2d,d56e2f,d6cbbc,d56e2f,d4853a,d69c5d,ac9684,ae4a2d,655b5c,b06a42
103,The Artist's Mother,Alberto Giacometti,2141,"Swiss, 1901–1966",Swiss,1901,1966,Male,1950,Oil on canvas,"35 3/8 x 24"" (89.9 x 61 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),15.1953,Painting,Painting & Sculpture,1953-01-30,Y,78448,http://www.moma.org/collection/works/78448,http://www.moma.org/media/W1siZiIsIjE1MTA0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42b42a6d9c2400ba,89.9,61.0,,,,,,,5b5446,938063,9b8f75,8b7151,504739,666153,8c836e,5f503c,666153,413d36,83664b,937b56,a79170,ada38b
104,"Personage, with Yellow Ochre and White",Robert Motherwell,4126,"American, 1915–1991",American,1915,1991,Male,1947,Oil on canvas,"6' x 54"" (182.8 x 137 cm)",Gift of Mr. and Mrs. Samuel M. Kootz,15.1957,Painting,Painting & Sculpture,1957-02-27,Y,78450,http://www.moma.org/collection/works/78450,http://www.moma.org/media/W1siZiIsIjE1MTA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=132446bb09f459a9,182.8,137.0,,,,,,,816c42,dfdccf,937e53,6f5a32,d9d3c1,e6e4dd,e1ded4,e6e4dd,896c36,816f49,55482e,d1c8ad,9e7f41,ac9d79
105,Ondho,Victor Vasarely,6109,"French, born Hungary 1908–1997",French,1908,1997,Male,1956,Oil on canvas,"7' 2 5/8"" x 71"" (220 x 180.4 cm)",Gift of G. David Thompson,15.1961,Painting,Painting & Sculpture,1961-01-10,Y,78452,http://www.moma.org/collection/works/78452,http://www.moma.org/media/W1siZiIsIjI0MTQxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5052fb790ae6f30,220.0,180.4,,,,,,,4a4c4d,c1c9c8,201f20,c1c9c8,595d5d,8d9597,bcc5c6,cfd8d5,8d9597,494c4c,6a6e6e,a8b0b0,1b1a1a,262525
106,Pines and Rocks (Fontainebleau?),Paul Cézanne,1053,"French, 1839–1906",French,1839,1906,Male,1897,Oil on canvas,"32 x 25 3/4"" (81.3 x 65.4 cm)",Lillie P. Bliss Collection,16.1934,Painting,Painting & Sculpture,1934-09-23,Y,78454,http://www.moma.org/collection/works/78454,http://www.moma.org/media/W1siZiIsIjQ3NjkwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cde04f6d3479a25c,81.3,65.4,,,,,,,424d51,757776,706960,424d51,6b7b8b,8a8f90,6b7b8b,7e8990,4b5961,61625e,3a4141,969590,796159,857e6a
107,Christina's World,Andrew Wyeth,6464,"American, 1917–2009",American,1917,2009,Male,1948,Tempera on panel,"32 1/4 x 47 3/4"" (81.9 x 121.3 cm)",Purchase,16.1949,Painting,Painting & Sculpture,1949-02-03,Y,78455,http://www.moma.org/collection/works/78455,http://www.moma.org/media/W1siZiIsIjE2NTQ1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=345f0fd676bdce15,81.9,121.3,,,,,,,635c3e,98937f,7e775c,635c3e,a19a80,c3c4c4,b6b9bb,605b3e,6e6647,7e775c,d0cecd,a19a80,44412a,585134
108,"The Empire of Light, II",René Magritte,3692,"Belgian, 1898–1967",Belgian,1898,1967,Male,1950,Oil on canvas,"31 x 39"" (78.8 x 99.1 cm)",Gift of D. and J. de Menil,16.1951,Painting,Painting & Sculpture,1951-01-30,Y,78456,http://www.moma.org/collection/works/78456,http://www.moma.org/media/W1siZiIsIjE1MTA3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87cef27055a802a9,78.8,99.1,,,,,,,20221e,98adb1,20221e,acbebf,768a90,93adb6,90adbc,87a4b2,20221e,8299a0,c9cec3,93adb6,423e31,52534a
109,The Spherical Roof Around our Tribe (Revolvers),Roberto Matta,3842,"Chilean, 1911–2002",Chilean,1911,2002,Male,1952,Tempera on canvas,"6' 6 5/8"" x 9' 7 7/8"" (199.7 x 294.5 cm)",Gift of D. and J. de Menil,16.1954,Painting,Painting & Sculpture,1954-04-06,Y,78458,http://www.moma.org/collection/works/78458,http://www.moma.org/media/W1siZiIsIjUxNzcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2413175cc18c444,199.7,294.5,,,,,,,86826f,d8d1ba,a6a48d,656051,d2c8ac,dfdac8,cbc6b5,dfdac8,d9d1b6,807661,4a4a40,cab790,9c997b,b0b09f
110,Lady in a Park,August Macke,3670,"German, 1887–1914",German,1887,1914,Male,1914,Oil on canvas,"38 1/2 x 23 1/4"" (97.8 x 58.9 cm)",Gift of the Henry Pearlman Foundation,16.1956,Painting,Painting & Sculpture,1956-03-19,Y,78459,http://www.moma.org/collection/works/78459,http://www.moma.org/media/W1siZiIsIjIxMjUxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2e3afb79a666d0f,97.8,58.9,,,,,,,313732,7a6240,313732,72522a,75584e,918e5d,6b3c28,2d2c22,75584e,838543,78672d,364342,897d67,b6ae89
111,"Faust, I",Jan Müller,4150,"American, born Germany. 1922–1958",American,1922,1958,Male,1956,Oil on canvas,"68 1/8"" x 10' (173 x 304.7 cm)",Purchase,16.1957,Painting,Painting & Sculpture,1957-02-27,Y,78460,http://www.moma.org/collection/works/78460,http://www.moma.org/media/W1siZiIsIjIzNzc1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f68fd989a52e359a,173.0,304.7,,,,,,,3c3d39,918e7e,a4a294,3c3d39,6d6553,8e8d7d,ada999,9b9a8f,6d6f69,2f2f2c,6c5c3e,4a4b45,888875,939286
112,Bather,Henri Matisse,3832,"French, 1869–1954",French,1869,1954,Male,1909,Oil on canvas,"36 1/2 x 29 1/8"" (92.7 x 74 cm)",Gift of Abby Aldrich Rockefeller,17.1936,Painting,Painting & Sculpture,1936-01-14,Y,78464,http://www.moma.org/collection/works/78464,http://www.moma.org/media/W1siZiIsIjE2OTAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9c49712cff48acdd,92.7,74.0,,,,,,,26336a,bab4ac,efe4c4,26336a,4d537f,bbb4aa,21222c,efe4c4,293c92,253059,bbb4aa,3e4fa2,3f4050,776f69
113,Workers and Paintings,Honoré Sharrer,5374,"American, 1920–2009",American,1920,2009,Female,1943,Oil on board,"11 5/8 x 37"" (29.5 x 94 cm)",Gift of Lincoln Kirstein,17.1944,Painting,Painting & Sculpture,1944-03-14,Y,78465,http://www.moma.org/collection/works/78465,http://www.moma.org/media/W1siZiIsIjM4Njc5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5dc804ea77821404,29.5,94.0,,,,,,,2e2c27,646158,494945,2e2c27,6d6553,908f83,1f201f,747269,494945,b6c0be,a4987b,6d6553,32312e,474030
114,Dragon Fruit,Roberto Ossaye,4440,"Guatemalan, 1927–1954",Guatemalan,1927,1954,Male,1953,Oil on canvas,"12 7/8 x 18 3/4"" (32.7 x 47.5 cm)","Given in memory of the artist by Mrs. Roberto Ossaye and her daughter, Maria del Carmen Ossaye",17.1957,Painting,Painting & Sculpture,1957-02-27,Y,78466,http://www.moma.org/collection/works/78466,http://www.moma.org/media/W1siZiIsIjIwODAxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39efbf84a5b00f00,32.7,47.5,,,,,,,313437,744d2d,71602f,773a2c,2e2e33,343a3c,252d34,71602f,832e27,6d432a,803237,362f32,2e373c,3b3d3b
115,Constanza,George McNeil,3894,"American, 1908–1995",American,1908,1995,Male,1958,Oil on board,"47 7/8 x 47 7/8"" (121.6 x 121.6 cm)",Larry Aldrich Foundation Fund,17.1959,Painting,Painting & Sculpture,1959-03-02,Y,78467,http://www.moma.org/collection/works/78467,http://www.moma.org/media/W1siZiIsIjUxNzkxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3ccd1e60a9f5b19,121.6,121.6,,,,,,,57524c,9f856c,906b4d,57524c,978267,c4bcaf,d1ccc1,beb9af,978267,ada18b,635d58,4c4640,945f4a,8d7650
116,"Still Life with Ginger Jar, Sugar Bowl, and Oranges",Paul Cézanne,1053,"French, 1839–1906",French,1839,1906,Male,1902,Oil on canvas,"23 7/8 x 28 7/8"" (60.6 x 73.3 cm)",Lillie P. Bliss Collection,18.1934,Painting,Painting & Sculpture,1934-09-23,Y,78469,http://www.moma.org/collection/works/78469,http://www.moma.org/media/W1siZiIsIjQ2ODMxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86286a5061d350c3,60.6,73.3,,,,,,,2d2926,523d33,2d2926,483126,483c36,6e5749,3a2c26,64493a,483c36,715b48,2d2926,7e7067,483126,653b26
117,Still Life -- Glove and Newspaper,Joan Miró,4016,"Spanish, 1893–1983",Spanish,1893,1983,Male,1921,Oil on canvas,"46 x 35 1/4"" (116.8 x 89.5 cm)",Gift of Armand G. Erpf,18.1955,Painting,Painting & Sculpture,1955-04-06,Y,78471,http://www.moma.org/collection/works/78471,http://www.moma.org/media/W1siZiIsIjE1MTA4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f5a4fcdea61c75ae,116.8,89.5,,,,,,,5c4729,b88f40,442d18,73623a,ab732f,c5ab51,2a1d15,5f3c1b,665b3a,ab732f,c5ab51,785e2b,6c6445,7f7a66
118,Z II,László Moholy-Nagy,4048,"American, born Hungary. 1895–1946",American,1895,1946,Male,1925,Oil on canvas,"37 5/8 x 29 5/8"" (95.4 x 75.1 cm)",Gift of Mrs. Sibyl Moholy-Nagy,18.1956,Painting,Painting & Sculpture,1956-03-19,Y,78472,http://www.moma.org/collection/works/78472,http://www.moma.org/media/W1siZiIsIjE1MTA4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1820765a684c7ec,95.4,75.1,,,,,,,c0b28f,e1d1b8,e1d1b8,dbcba8,7a7769,d1ba82,d2bfa0,d3be6c,5e5f54,e1d1b8,ccaa5d,dbcba8,7c7363,b1a997
119,Mother and Child,Abraham Rattner,4821,"American, 1893–1978",American,1893,1978,Male,1938,Oil on canvas,"28 3/4 x 39 3/8"" (73 x 100 cm)",Given anonymously,19.1940,Painting,Painting & Sculpture,1940-04-05,Y,78474,http://www.moma.org/collection/works/78474,http://www.moma.org/media/W1siZiIsIjIwODAyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=076a3f65afde700d,73.0,100.0,,,,,,,314153,959283,828568,314153,7a849b,d8bba1,67757c,d8bba1,3b4f69,7a849b,68745b,27333d,8c895e,ada16c
120,Fugue,John Tunnard,5969,"British, 1900–1971",British,1900,1971,Male,1938,Oil and tempera on gessoed board,"24 x 34 1/8"" (61 x 86.7 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),19.1943,Painting,Painting & Sculpture,1943-02-18,Y,78475,http://www.moma.org/collection/works/78475,http://www.moma.org/media/W1siZiIsIjE3MzIzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fb3fba47ab6b3b74,61.0,86.7,,,,,,,41463f,b18e49,b28533,b09760,413f32,424e4b,cea14e,ac8b4d,7c7962,cab783,413f32,424e4b,a67c31,bd8e35
121,The Two Musicians,Max Weber,6275,"American, born Russia. 1881–1961",American,1881,1961,Male,1917,Oil on canvas,"40 1/8 x 30 1/8"" (101.9 x 76.5 cm)",Acquired through the Richard D. Brixey Bequest,19.1944,Painting,Painting & Sculpture,1944-03-14,Y,78476,http://www.moma.org/collection/works/78476,http://www.moma.org/media/W1siZiIsIjE3NDgyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=91b8d7cdfee72244,101.9,76.5,,,,,,,252e22,575038,393728,252e22,5b573d,8d7c55,22291e,5b5132,5b5e49,283326,856b3a,958d6f,3a3121,393d2f
122,Cwn Tryfan Rock,John Piper,4633,"British, 1903–1992",British,1903,1992,Male,1950,Oil on canvas,"25 1/8 x 30"" (63.8 x 76.2 cm)",Purchase,19.1951,Painting,Painting & Sculpture,1951-01-30,Y,78477,http://www.moma.org/collection/works/78477,http://www.moma.org/media/W1siZiIsIjE3NDgyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c88d2f37407df9ec,63.8,76.2,,,,,,,2f3131,7a7663,4c4e46,2f3131,927f5a,c0bfa7,262c2e,886d4f,9d9164,a4a285,383634,dbdcc8,484337,4f5855
123,Two Russians,Emil Nolde,4327,"German, 1867–1956",German,1867,1956,Male,1915,Oil on canvas,"29 x 35 1/2"" (73.4 x 90 cm)",Matthew T. Mellon Foundation Fund,19.1954,Painting,Painting & Sculpture,1954-04-06,Y,78478,http://www.moma.org/collection/works/78478,http://www.moma.org/media/W1siZiIsIjE1OTExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=48974a4e86584fb7,73.4,90.0,,,,,,,1e2325,6c6856,1e2325,908b6c,33373a,5b5546,8a8972,1e2325,33373a,4c463d,88805e,6a634e,9c977a,b2ab8a
124,Landscape with Yellow Nudes,Otto Mueller,4140,"German, 1874–1930",German,1874,1930,Male,1919,Oil on burlap,"27 5/8 x 35 3/4"" (70.2 x 90.8 cm)",Gift of Samuel A. Berger,19.1955,Painting,Painting & Sculpture,1955-04-06,Y,78479,http://www.moma.org/collection/works/78479,http://www.moma.org/media/W1siZiIsIjE2ODYxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f7b4844245e85138,70.2,90.8,,,,,,,324555,68784d,2c3d37,374e74,657440,6c7c5a,667441,4f623e,2c3d37,374e74,828c54,556b60,778942,aaa542
125,A Good Circular God,Jeanne Reynal,4884,"American, 1903–1983",American,1903,1983,Female,1948,Mixed media,"37 x 24 3/8 x 1"" (94 x 61.9 x 2.5 cm)",Katharine Cornell Fund,20.1951,Painting,Painting & Sculpture,1951-01-30,Y,78482,http://www.moma.org/collection/works/78482,http://www.moma.org/media/W1siZiIsIjE3NDgyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4fee336a9f3184c,94.0,61.9,2.5,,,,,,383834,79766c,605e5b,383834,8e8870,96958c,8a8a85,7f7d71,30302d,9d936f,a39f92,605e5b,3b3b38,434340
126,Color Form Synchromy (Eidos),Morgan Russell,5093,"American, 1886–1953",American,1886,1953,Male,1922,Oil on canvas,"14 1/2 x 10 5/8"" (36.8 x 27 cm)",Mrs. Wendell T. Bush Fund,21.1951,Painting,Painting & Sculpture,1951-01-30,Y,78484,http://www.moma.org/collection/works/78484,http://www.moma.org/media/W1siZiIsIjE2OTg2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee003d235bbb9280,36.8,27.0,,,,,,,1a2128,5d4f3b,45332a,1a2128,4b5445,9f8052,8b715c,aa9c74,9a6f30,45332a,4b5445,d0c6a8,171a1c,1d2934
127,"No. 16 (Red, Brown, and Black)",Mark Rothko,5047,"American, born Russia (now Latvia). 1903–1970",American,1903,1970,Male,1958,Oil on canvas,"8' 10 5/8"" x 9' 9 1/4"" (270.8 x 297.8 cm)",Mrs. Simon Guggenheim Fund,21.1959,Painting,Painting & Sculpture,1959-03-02,Y,78485,http://www.moma.org/collection/works/78485,http://www.moma.org/media/W1siZiIsIjE1MTExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b4095c0187425166,270.8,297.8,,,,,,,5d5047,745751,715246,5d5047,745857,795f61,7b6267,7b5e5f,715246,745857,765d5f,5d5047,7d656a,7f676c
128,Still Life with Apples,Paul Cézanne,1053,"French, 1839–1906",French,1839,1906,Male,1895,Oil on canvas,"27 x 36 1/2"" (68.6 x 92.7 cm)",Lillie P. Bliss Collection,22.1934,Painting,Painting & Sculpture,1934-09-23,Y,78486,http://www.moma.org/collection/works/78486,http://www.moma.org/media/W1siZiIsIjQ1NzQ0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=411a3a40e2d729b2,68.6,92.7,,,,,,,524942,9d907a,85735b,524942,a19885,cac3ac,574436,817e75,cac3ac,a19885,362c2a,5e5954,7e583d,927546
129,Nursery,Stanley Spencer,5562,"British, 1891–1959",British,1891,1959,Male,1936,Oil on canvas,"30 1/8 x 36 1/8"" (76.5 x 91.8 cm)","Gift of the Contemporary Art Society, London",22.1940,Painting,Painting & Sculpture,1940-04-05,Y,78487,http://www.moma.org/collection/works/78487,http://www.moma.org/media/W1siZiIsIjE1MTEyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f793010d0686ff1,76.5,91.8,,,,,,,3d3227,856c4c,3d3227,6a5138,8e6f4c,b39d75,836a4a,5f4a34,3d3227,a28c69,99754d,76583b,bda477,c9ba8d
130,Dalmatian Scene,Zoran Mušič,4189,"Slovenian, 1909–2005",Slovenian,1909,2005,Male,1951,Oil on canvas,"21 3/8 x 28 3/4"" (54.3 x 73 cm)",Purchase,22.1953,Painting,Painting & Sculpture,1953-01-30,Y,78488,http://www.moma.org/collection/works/78488,http://www.moma.org/media/W1siZiIsIjIwODAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26274bf01adcea55,54.3,73.0,,,,,,,77685b,b09f83,86776b,68594a,aa946e,b6aa97,907963,7f6853,93867b,aa946e,7b6f68,504b42,ada08f,bfb39f
131,Golden Tension,Will Barnet,342,"American, 1911–2012",American,1911,2012,Male,1959,Oil and gold leaf on canvas,"64 x 39 7/8"" (162.5 x 101.2 cm)",Gift of Dr. Jack M. Greenbaum,22.1960,Painting,Painting & Sculpture,1960-04-06,Y,78491,http://www.moma.org/collection/works/78491,http://www.moma.org/media/W1siZiIsIjIwODAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15674a371b4f8e01,162.5,101.2,,,,,,,2a2a2d,a2865a,2a2a2d,947349,ac8a4f,b4a788,bbbbae,aa8d59,ac8a4f,aaa698,bfad82,2a2a2d,8b6b42,9c7c4f
