,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm),Depth (cm),Weight (kg),Diameter (cm),Length (cm),Circumference (cm),Duration (sec.),cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
1481,The Quarriers,Leonid (Leonid Berman),3487,"American, born Russia. 1896–1976",American,1896,1976,Male,1930,Oil on canvas,"10 3/4 x 16 1/4"" (27.1 x 41.4 cm)",James Thrall Soby Bequest,1229.1979,Painting,Painting & Sculpture,1979-12-11,Y,80597,http://www.moma.org/collection/works/80597,http://www.moma.org/media/W1siZiIsIjE2ODYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d3f4569819200f6,27.1,41.4,,,,,,,35372a,7f8071,35372a,888b82,686755,85826a,717972,7c827c,282a22,939489,988a61,686755,3c3d2b,4a4a3b
1482,Tree,Loren MacIver,3668,"American, 1909–1998",American,1909,1998,Female,1945,Oil on canvas,"40 x 26"" (101.5 x 66 cm)",James Thrall Soby Bequest,1231.1979,Painting,Painting & Sculpture,1979-12-11,Y,80598,http://www.moma.org/collection/works/80598,http://www.moma.org/media/W1siZiIsIjE3MDk3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f9ed7ce111000a6,101.5,66.0,,,,,,,3e3327,604d31,56432c,3e3327,625131,745f39,453a2a,56432c,625131,6e5835,766437,372d23,766441,856f46
1483,Think,William Copley,1238,"American, 1919–1996",American,1919,1996,Male,1964,Oil on canvas,"25 5/8 x 32"" (65.1 x 81 cm)",Gift of Miss Jeanne Reynal,1233.1964,Painting,Painting & Sculpture,1964-12-08,Y,80600,http://www.moma.org/collection/works/80600,http://www.moma.org/media/W1siZiIsIjUxOTIxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95edf1a030a5c6dc,65.1,81.0,,,,,,,333435,7f7a6f,333435,5c5853,9b9777,a6a39f,49423f,5b595a,7b766d,a6a39f,333435,9b9777,4b4b49,5b5248
1484,"Here, Sir Fire, Eat!",Roberto Matta,3842,"Chilean, 1911–2002",Chilean,1911,2002,Male,1942,Oil on canvas,"56 1/8 x 44 1/8"" (142.3 x 112 cm)",James Thrall Soby Bequest,1235.1979,Painting,Painting & Sculpture,1979-12-11,Y,80602,http://www.moma.org/collection/works/80602,http://www.moma.org/media/W1siZiIsIjE1MDk5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc9f1adfd05ab543,142.3,112.0,,,,,,,838570,c8b984,9c9c7f,6b6e60,c8b56f,c9bd9a,626f62,a0a18d,989771,4b4e46,c8b56f,c9bd9a,7b7964,828275
1485,Portrait of Mistress Mills in 1750,Joan Miró,4016,"Spanish, 1893–1983",Spanish,1893,1983,Male,1929,Oil on canvas,"46 x 35 1/4"" (116.7 x 89.6 cm)",James Thrall Soby Bequest,1236.1979,Painting,Painting & Sculpture,1979-12-11,Y,80603,http://www.moma.org/collection/works/80603,http://www.moma.org/media/W1siZiIsIjIzMjcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=667e416b7655354d,116.7,89.6,,,,,,,503d2d,907542,503d2d,815835,9b8d46,a39659,a0914a,a2934c,9b8d46,503d2d,8b7640,763a29,a49767,b3aea1
1486,Self-Portrait I,Joan Miró,4016,"Spanish, 1893–1983",Spanish,1893,1983,Male,1937,"Pencil, crayon, and oil on canvas","57 1/2 x 38 1/4"" (146.1 x 97.2 cm)",James Thrall Soby Bequest,1238.1979,Painting,Painting & Sculpture,1979-12-11,Y,80604,http://www.moma.org/collection/works/80604,http://www.moma.org/media/W1siZiIsIjE1MTAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e9e4ed8b1fa9d48,146.1,97.2,,,,,,,989994,bdb9b2,a3a4a2,bdb9b2,83837e,989790,8b8c89,85847c,a3a4a2,7d7c74,989790,646460,b7b3aa,c3c0bb
1487,Still Life,Giorgio Morandi,4079,"Italian, 1890–1964",Italian,1890,1964,Male,1949,Oil on canvas,"14 1/4 x 17 1/4"" (36 x 43.7 cm)",James Thrall Soby Bequest,1240.1979,Painting,Painting & Sculpture,1979-12-11,Y,80607,http://www.moma.org/collection/works/80607,http://www.moma.org/media/W1siZiIsIjE1MTAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aec4cb354b447a46,36.0,43.7,,,,,,,aca390,c2bca7,bab098,c2bca7,928a7c,a9a293,8c877e,898175,a9a293,9e9382,bab098,c2bca7,6a675d,887f6f
1488,"Square Motif in Brown, White, Black, Blue, and Ochre",Victor Pasmore,4515,"British, 1908–1998",British,1908,1998,Male,1948,Paper collage and oil on canvas,"25 x 30"" (63.5 x 76.1 cm)",Gift of Mr. and Mrs. Allan D. Emil,1241.1964,Painting,Painting & Sculpture,1964-12-08,Y,80608,http://www.moma.org/collection/works/80608,http://www.moma.org/media/W1siZiIsIjIwOTU4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8596059af4eed256,63.5,76.1,,,,,,,393127,c3b88b,d5d2a9,393127,9a7d4c,c7c08c,d5d2a9,7c704d,1f1d1c,c7c08c,524431,aa9c70,8b6333,b78441
1489,Nude Seated on a Rock,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1921,Oil on wood,"6 1/4 x 4 3/8"" (15.8 x 11.1 cm)",James Thrall Soby Bequest,1242.1979,Painting,Painting & Sculpture,1979-12-11,Y,80609,http://www.moma.org/collection/works/80609,http://www.moma.org/media/W1siZiIsIjIxMjAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c644370f6334e7d9,15.8,11.1,,,,,,,4b3f40,997c6a,3c291e,5a5563,8b6755,a7907e,8e5838,616177,53494e,908887,887672,be9876,241f19,543322
1490,The Sigh,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1923,Oil and charcoal on canvas,"23 3/4 x 19 3/4"" (60.3 x 50.2 cm)",James Thrall Soby Bequest,1243.1979,Painting,Painting & Sculpture,1979-12-11,Y,80611,http://www.moma.org/collection/works/80611,http://www.moma.org/media/W1siZiIsIjE1MTAwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=99a2a654a48f3f6b,60.3,50.2,,,,,,,919089,a8a598,979893,a8a598,817e78,959186,787874,8a8882,959186,979893,a8a598,827f78,4d4a42,726d62
1491,Watching the Clock,Kay Sage,16189,"American, 1898–1963",American,1898,1963,Female,1958,Oil on canvas,"14 x 14"" (35.6 x 35.6 cm)",James Thrall Soby Bequest,1248.1979,Painting,Painting & Sculpture,1979-12-11,Y,80614,http://www.moma.org/collection/works/80614,http://www.moma.org/media/W1siZiIsIjE2NTc2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d0e39d23a780953,35.6,35.6,,,,,,,372c1c,74683e,7e744b,6a5c31,291c14,463c24,857a4c,64552f,756b43,706433,291c14,89815a,352e1e,584b2b
1492,Dunes,Augustus Vincent Tack,5774,"American, 1870–1949",American,1870,1949,Male,1935,"Oil on canvas, mounted on board","6' 1/8"" x 47 3/4"" (183 x 121.5 cm)",Enid A. Haupt Fund,1250.1979,Painting,Painting & Sculpture,1979-12-11,Y,80615,http://www.moma.org/collection/works/80615,http://www.moma.org/media/W1siZiIsIjIyMDM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e30d6beba271dd82,183.0,121.5,,,,,,,927f5c,a69782,93867a,baa88a,7d6e54,a79064,af9871,927d5a,a79064,b09d7e,93867a,695e4e,c6bea7,e9e8e8
1493,Blue Vase,René Pierre Tal-Coat,5790,"French, 1905–1985",French,1905,1985,Male,1933,Oil on canvas,"5 3/4 x 7 1/4"" (14.5 x 18.3 cm)",James Thrall Soby Bequest,1251.1979,Painting,Painting & Sculpture,1979-12-11,Y,80616,http://www.moma.org/collection/works/80616,http://www.moma.org/media/W1siZiIsIjIwOTU4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1230d0f7550e8f0,14.5,18.3,,,,,,,42423b,837f6f,7b7869,42423b,847f6e,918a7a,888374,8b8676,847f6e,7b7869,2d2f2c,56564b,8f8979,c3b09b
1494,The Mood of Now,Yves Tanguy,5804,"American, born France. 1900–1955",American,1900,1955,Male,1928,Oil on canvas,"39 1/2 x 28 7/8"" (100.1 x 73.3 cm)",James Thrall Soby Bequest,1252.1979,Painting,Painting & Sculpture,1979-12-11,Y,80617,http://www.moma.org/collection/works/80617,http://www.moma.org/media/W1siZiIsIjE1NjM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e3150869ac01d11b,100.1,73.3,,,,,,,54523e,bbb495,d6d1b3,54523e,8f8560,b2ab8c,beb797,35372f,4c4b36,a69f80,8f8560,d6d1b3,5b5943,736e4f
1495,Still Life #57,Tom Wesselmann,6318,"American, 1931–2004",American,1931,2004,Male,1969,"Oil on canvas and base of acrylic paint on carpet, in six sections","Overall 10' 3 1/8"" x 16' 2 7/8"" x 6' (312.5 x 495 x 182.8 cm)",Gift of the artist,1253.1969.a-g,Painting,Painting & Sculpture,1971-01-12,Y,80618,http://www.moma.org/collection/works/80618,http://www.moma.org/media/W1siZiIsIjI2MzI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6acce122a29aed8e,312.5,495.0,182.8,,,,,,947f74,e7e0cd,e7e0cd,c28856,727470,5d79b4,eeeeee,d9d6d4,d78636,5d79b4,e6ce83,727470,b18163,a6938a
1496,Madame Bonjean,Pavel Tchelitchew,5821,"American, born Russia. 1898–1957",American,1898,1957,Male,1931,Oil on canvas,"51 1/4 x 38 1/8"" (130.1 x 96.7 cm)",James Thrall Soby Bequest,1253.1979,Painting,Painting & Sculpture,1979-12-11,Y,80619,http://www.moma.org/collection/works/80619,http://www.moma.org/media/W1siZiIsIjIzNTMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef136a27b2ad0356,130.1,96.7,,,,,,,312122,563f40,4d3637,312122,564243,674f4e,624848,564243,4f3a3c,261a1a,4b3133,3c292b,675251,725a57
1497,Map of the World,Alighiero Boetti,630,"Italian, 1940–1994",Italian,1940,1994,Male,1989,Embroidery on fabric,"46 1/4"" x 7' 3 3/4"" x 2"" (117.5 x 227.7 x 5.1 cm)",Scott Burton Fund,1253.1999,Painting,Painting & Sculpture,1999-12-06,Y,80620,http://www.moma.org/collection/works/80620,http://www.moma.org/media/W1siZiIsIjE1MTAwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd6acce42ecdf880,117.5,227.7,5.1,,,,,,1a1b21,5d4548,1a1b21,502729,454956,8f7d7b,2b2328,1a1b21,958a81,742b2a,7c605c,454956,a19ea7,bdb7ba
